time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620734840,6326.611111111111,50.2166666666667,189.94444444444449,383.6666666666667,827.5,394.1666666666667,1243.2222222222222,0.4,0.0,16.35,3242.1,18.11111111111113,0.0,0.7611111111111143,2
1620734850,6491.941176470588,50.2166666666667,186.41176470588235,391.05882352941177,827.5,401.4117647058824,1077.470588235294,4.3,0.0,16.5330065359477,3242.1,19.73888888888887,0.0,0.7392156862745083,2
1620734860,6660.111111111111,50.2166666666667,189.94444444444449,398.1666666666667,2938.5,408.55555555555554,906.7222222222222,4.3,0.0,16.816993464052302,23938.1,18.69166666666665,25.0,0.7107843137254918,2
1620734870,6833.277777777777,50.2166666666667,189.94444444444449,405.55555555555554,840.2,415.8888888888889,736.2777777777778,4.3,0.0,17.316666666666606,3331.4,17.78333333333335,0.0,0.7388888888888857,2
1620734880,7000.666666666667,50.2166666666667,189.94444444444449,413.27777777777777,839.8,423.6666666666667,569.1111111111111,0.3,0.0,16.738888888888958,3255.6,18.79444444444448,0.0,0.7722222222222228,2
1620734890,7155.777777777777,50.2166666666667,189.94444444444449,420.8333333333333,823.0,431.3888888888889,415.1666666666667,1.0,0.0,15.51111111111104,3182.9,17.85,0.0,0.7555555555555543,2
1620734900,7316.444444444444,50.2166666666667,189.94444444444449,428.55555555555554,820.3,438.8888888888889,253.38888888888889,2.4,0.0,16.0666666666667,3149.8,17.383333333333304,0.0,0.7722222222222228,2
1620734910,7476.111111111111,50.2166666666667,189.94444444444449,436.22222222222223,828.5,446.44444444444446,92.16666666666669,2.4,0.0,15.966666666666695,3198.4,17.497222222222216,0.0,0.7666666666666686,2
1620734920,7556.666666666667,50.2166666666667,189.94444444444449,440.94444444444446,449.0,451.0,14.27777777777778,2.4,0.0,8.055555555555566,1589.1,12.655555555555566,0.0,0.4722222222222229,2
1620734930,7558.0,50.2166666666667,189.94444444444449,441.0,6.1,451.05555555555554,12.944444444444445,0.0,0.0,0.133333333333303,54.7,3.861111111111131,0.0,0.0055555555555542,2
1620734940,7558.0,0.0,189.94444444444449,441.0,0.0,451.05555555555554,12.944444444444445,0.0,0.0,0.0,39.6,0.0666666666666969,0.0,0.0,2
1620734950,7564.666666666667,0.0,189.94444444444449,441.8333333333333,104.5,452.0,9.055555555555555,0.0,0.0,0.6666666666666969,323.7,0.4,0.0,0.0833333333333314,2
1620734960,7566.0,0.0,189.94444444444449,442.0,9.6,452.05555555555554,8.5,0.0,0.0,0.133333333333303,46.9,0.4222222222221717,0.0,0.0166666666666685,2
1620734970,7566.0,0.05,185.8235294117647,442.0,9.6,452.05882352941177,9.0,0.0,0.0,0.0,46.9,1.9230392156862763,0.0,0.0,2
1620734980,7566.0,0.05,189.94444444444449,442.0,2440.1,452.05555555555554,8.5,0.0,6.079999999999927,0.0,22121.5,1.9230392156862763,26.0,0.0,2
1620734990,7566.0,0.0,189.94444444444449,442.0,6.5,452.05555555555554,8.5,0.0,0.0,0.0,35.1,1.9008169934641048,0.0,0.0,2
1620735000,7566.0,0.0,189.94444444444449,442.0,0.0,452.05555555555554,8.5,0.0,0.0,0.0,39.6,0.0,0.0,0.0,2
1620735010,7566.0,0.0,189.94444444444449,442.0,25.1,452.05555555555554,8.5,0.0,0.0,0.0,83.2,0.0,0.0,0.0,2
1620735020,7566.0,0.0,189.94444444444449,442.0,7.2,452.05555555555554,8.5,0.0,0.0,0.0,40.6,0.0,0.0,0.0,2
1620735030,7566.0,0.0,189.94444444444449,442.0,0.0,452.05555555555554,8.5,0.0,0.0,0.0,39.6,0.0,0.0,0.0,2
1620735040,7566.0,0.0,189.94444444444449,442.0,25.2,452.05555555555554,8.5,0.0,0.0,0.0,86.2,0.0,0.0,0.0,2
1620735050,7566.0,0.0,189.94444444444449,442.0,7.1,452.05555555555554,8.5,0.0,0.0,0.0,37.5,0.0,0.0,0.0,2
1620735060,7566.0,0.0,189.94444444444449,442.0,0.0,452.05555555555554,8.5,0.0,0.0,0.0,40.8,0.0,0.0,0.0,2
1620735070,7566.0,0.0,189.94444444444449,442.0,25.2,452.05555555555554,8.5,0.0,0.0,0.0,86.0,0.0,0.0,0.0,2
1620735080,7566.0,0.0,189.94444444444449,442.0,7.1,452.05555555555554,8.5,0.0,0.0,0.0,39.2,0.0,0.0,0.0,2
1620735090,7566.0,0.0,189.94444444444449,442.0,0.0,452.05555555555554,8.5,0.0,0.0,0.0,41.3,0.0,0.0,0.0,2
1620735100,7567.833333333333,0.0,189.94444444444449,442.6111111111111,71.0,452.72222222222223,7.166666666666667,0.0,0.0,0.183333333333303,215.9,0.1083333333333939,0.0,0.0611111111111085,2
1620735110,7569.0,0.0,189.94444444444449,443.0,33.6,453.05555555555554,7.0,0.0,0.0,0.1166666666666969,104.5,0.1583333333333939,0.0,0.0388888888888914,2
1620735120,7569.0,0.0,205.3125,443.0,33.6,453.0625,6.75,0.0,0.0,0.0,104.5,4.268402777777737,0.0,0.0,2
1620735130,7569.0,0.025,189.94444444444449,443.0,4880.2,453.05555555555554,7.0,0.0,0.0,0.0,43666.3,4.268402777777737,13.4,0.0,2
1620735140,7569.0,0.0,189.94444444444449,443.0,15.9,453.05555555555554,7.0,0.0,0.0,0.0,56.4,4.2184027777777375,0.0,0.0,2
1620735150,7569.0,0.0,189.94444444444449,443.0,0.0,453.05555555555554,7.0,0.0,0.0,0.0,36.1,0.0,0.0,0.0,2
1620735160,7569.0,0.0,189.94444444444449,443.0,16.2,453.05555555555554,7.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,2
1620735170,7569.0,0.0,189.94444444444449,443.0,16.1,453.05555555555554,7.0,0.0,0.0,0.0,56.3,0.0,0.0,0.0,2
1620735180,7569.0,0.0,189.94444444444449,443.0,0.0,453.05555555555554,7.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,2
1620735190,1121.0555555555557,52.02222222222226,24.88888888888889,219.38888888888889,111.8,227.11111111111111,4378.722222222223,1.4,33.08000000000002,2.016666666666674,6366.2,2.866666666666664,4.2,0.0611111111111114,3
1620735200,1178.9444444444443,47.3333333333333,19.444444444444443,221.11111111111111,208.1,228.94444444444449,4852.055555555556,1.4,33.18999999999996,5.788888888888868,6514.5,4.552777777777783,4.2,0.1722222222222228,3
1620735210,1183.9444444444443,1.3222222222221718,23.444444444444443,221.27777777777777,20.4,229.0,4865.277777777777,0.0,33.139999999999965,0.5,6557.2,3.025000000000001,7.2,0.0166666666666657,3
1620735220,1188.2777777777778,28.25,29.05555555555556,221.38888888888889,38.5,229.16666666666663,5147.777777777777,0.0,33.12000000000008,0.4333333333333485,2254.3,0.3083333333333264,10.1,0.0111111111111114,3
1620735230,1209.0,10.983333333333396,37.333333333333336,221.83333333333331,112.7,229.72222222222223,5257.611111111111,3.0,32.98999999999997,2.072222222222217,3273.4,1.927777777777784,14.9,0.0444444444444457,3
1620735240,1273.0555555555557,32.36111111111113,13.666666666666666,223.38888888888889,205.9,231.44444444444449,5581.222222222223,0.8,32.98999999999997,6.405555555555566,6720.8,5.177777777777783,14.9,0.1555555555555542,3
1620735250,1300.611111111111,17.48888888888887,18.944444444444443,224.27777777777777,90.3,232.16666666666663,5756.111111111111,0.8,33.06000000000004,2.755555555555543,6787.0,4.6027777777777725,9.5,0.0888888888888885,3
1620735260,1350.6666666666667,11.938888888888869,33.77777777777778,226.0,228.5,233.88888888888889,5875.5,9.2,33.22000000000007,5.005555555555565,3716.0,4.005555555555555,26.7,0.1722222222222228,3
1620735270,1425.111111111111,11.938888888888869,29.11111111111111,228.66666666666663,299.2,236.66666666666663,5870.055555555556,9.2,33.08999999999996,7.444444444444434,5120.4,7.022222222222228,26.7,0.2666666666666657,3
1620735280,1552.2777777777778,11.938888888888869,21.11111111111111,232.61111111111111,492.5,240.5,5825.777777777777,2.6,31.51000000000004,12.716666666666674,4494.3,10.838888888888892,26.7,0.3944444444444457,3
1620735290,1723.9444444444443,11.938888888888869,21.11111111111111,239.22222222222223,748.9,247.27777777777777,5656.722222222223,2.6,28.22999999999993,17.16666666666665,4005.8,16.18888888888888,0.0,0.6611111111111114,3
1620735300,1885.8333333333333,8.966666666666606,21.11111111111111,245.72222222222223,711.1,253.5,5746.388888888889,3.0,24.870000000000072,16.18888888888889,3934.6,18.055555555555543,0.0,0.65,3
1620735310,2034.1666666666667,8.966666666666606,21.11111111111111,251.94444444444449,682.0,259.8333333333333,5624.5,3.0,21.55,14.833333333333348,3491.0,16.98333333333335,0.0,0.6222222222222229,3
1620735320,2180.6666666666665,8.966666666666606,21.11111111111111,256.72222222222223,609.7,264.55555555555554,5510.777777777777,3.0,18.21999999999989,14.649999999999975,4069.8,16.85277777777778,0.0,0.4777777777777771,3
1620735330,2377.8888888888887,8.966666666666606,21.11111111111111,261.77777777777777,753.7,269.77777777777777,5329.944444444444,3.4,15.080000000000108,19.722222222222214,4205.0,19.122222222222216,0.0,0.5055555555555543,3
1620735340,2568.5,8.966666666666606,21.11111111111111,269.5,837.2,277.6111111111111,5147.277777777777,3.4,11.789999999999964,19.06111111111113,3774.6,20.6,0.0,0.7722222222222228,3
1620735350,2729.1666666666665,8.966666666666606,21.11111111111111,276.77777777777777,797.8,284.8888888888889,4984.222222222223,3.4,8.36999999999989,16.066666666666652,3570.7,19.155555555555544,0.0,0.7277777777777772,3
1620735360,2899.5,8.966666666666606,21.11111111111111,283.0,741.9,291.05555555555554,4814.888888888889,4.6,4.9,17.03333333333335,3581.4,18.252777777777784,0.0,0.6222222222222229,3
1620735370,3064.3888888888887,8.966666666666606,21.11111111111111,289.6666666666667,752.7,297.72222222222223,4649.388888888889,4.6,1.7200000000000728,16.48888888888887,3624.1,18.11388888888889,0.0,0.6666666666666685,3
1620735380,3249.777777777778,8.966666666666606,21.11111111111111,295.94444444444446,742.3,303.8888888888889,4467.222222222223,1.9,0.0,18.538888888888916,3760.7,19.247222222222216,0.0,0.6277777777777771,3
1620735390,3455.777777777778,8.966666666666606,21.11111111111111,301.6111111111111,756.9,309.77777777777777,4260.388888888889,1.9,0.0,20.6,3825.9,20.875,0.0,0.5666666666666629,3
1620735400,3582.1111111111118,8.966666666666606,21.11111111111111,309.3888888888889,764.0,317.3888888888889,4134.888888888889,0.1,0.0,12.633333333333349,3461.3,17.813888888888915,0.0,0.7777777777777828,3
1620735410,3718.777777777778,8.966666666666606,21.11111111111111,317.1111111111111,780.8,325.0,3997.0,2.8,0.0,13.666666666666652,3555.8,14.558333333333326,0.0,0.7722222222222171,3
1620735420,3843.277777777778,8.966666666666606,21.11111111111111,324.6666666666667,755.0,332.72222222222223,3873.722222222222,2.8,0.0,12.45,3475.7,14.508333333333304,0.0,0.75555555555556,3
1620735430,3981.529411764706,8.966666666666606,19.294117647058822,330.3529411764706,755.0,338.29411764705884,3732.4117647058815,3.5,0.0,13.825163398692805,3475.7,16.023039215686275,0.0,0.5686274509803922,3
1620735440,4206.166666666667,8.966666666666606,21.11111111111111,334.72222222222223,2412.5,342.5,3500.9444444444443,3.5,0.0,22.46372549019611,21435.8,20.541666666666696,5.2,0.436928104575162,3
1620735450,4459.222222222223,8.966666666666606,21.11111111111111,339.1666666666667,793.4,347.0,3257.777777777778,3.1,0.0,25.305555555555564,4198.3,25.26307189542485,0.0,0.4444444444444457,3
